iteration,batch,mask_size,best_attack_acc,best_benign_acc,best_subset_acc,best_remain_acc,main_f1,subset_recall,remain_recall,benign_fpr
-1,-1,-1,-1.0000,-1.0000,-1.0000,-1.0000,0.9265,0.8421,0.9129,0.0063
19,0,20,0.9673,0.9850,0.9834,0.7800,0.9269,0.0208,0.8791,0.0006
