iteration,batch,mask_size,best_attack_acc,best_benign_acc,best_subset_acc,best_remain_acc,main_f1,main_recall,main_fpr,subset_f1,subset_recall,subset_fpr,remain_f1,remain_recall,remain_fpr,benign_f1,benign_recall,benign_fpr
-1,-1,-1,-1.0000,-1.0000,-1.0000,-1.0000,0.9265,0.9129,0.0063,0.9143,0.8421,nan,0.9545,0.9129,nan,0.0000,0.0000,0.0063
19,0,20,0.9673,0.9850,0.9834,0.7800,0.9269,0.9142,0.0064,0.0408,0.0208,nan,0.9357,0.8791,nan,0.0000,0.0000,0.0006
